actor_id,emotion,intensity,duration,energy_mean,energy_std,pitch_mean,pitch_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
1,Angry,Normal,1.792,0.020380152,0.01675501,157.44887272115562,34.834610331845674,-506.51562,106.43564,84.12927,78.555275,6.089943,38.54086,23.36626,28.46846,-5.643262,32.037155,-4.940118,19.302467,-5.7545295,21.721289,-22.048962,20.960846,-17.615973,14.631756,-0.6633867,17.439268,-13.85594,14.430673,4.7539816,13.918488,-17.140402,10.994728
1,Angry,Normal,1.568,0.014058164,0.010975825,159.43659146363507,33.63018697451335,-536.7314,95.79392,90.15748,75.01563,11.890083,35.89108,27.219875,30.307835,-4.621425,31.603487,-4.4624476,18.428705,-8.35161,19.568254,-20.132952,19.524637,-14.83374,13.716601,-2.4066947,15.251103,-11.647316,14.020723,3.0350397,10.570292,-15.553646,13.793808
1,Angry,Normal,2.048,0.016900508,0.013791807,192.68065176729476,51.87897743427339,-511.97278,110.048294,75.11862,58.407887,2.5958257,38.090946,18.31628,34.51005,-8.488148,33.625526,-4.727371,18.66291,-14.059973,19.865265,-15.831811,15.411166,-15.64123,16.888514,-2.7560725,13.581955,-13.707353,13.136611,-1.3336596,11.520391,-13.725155,15.564871
1,Angry,Normal,1.92,0.01570949,0.014354307,173.3109611885058,40.973023866673536,-527.85657,118.02583,81.45907,63.334343,4.7411537,37.039734,22.918768,32.4638,-4.591206,32.108215,-4.3303704,21.38828,-0.76245826,18.314655,-13.808032,16.033955,-16.04878,17.1521,3.568897,16.182951,-11.226097,13.362141,2.5274653,11.87084,-12.904183,13.792434
1,Angry,Strong,2.4,0.15703253,0.12706457,354.6600610633428,43.83519766433924,-295.14374,107.09438,31.637411,46.640087,-26.683687,34.85572,-7.783524,25.5461,-22.117706,34.659718,-21.778698,18.237318,-27.886227,19.67823,-20.913013,14.865809,-28.03279,14.448265,-3.990765,17.826468,-22.978836,12.766091,-9.708493,14.191168,-14.351485,13.4870825
1,Angry,Strong,2.08,0.09634894,0.07833214,347.0036811258677,46.37657013042398,-343.00903,109.98452,42.34458,44.77558,-26.831255,30.643835,-4.822049,26.542711,-25.78951,36.5466,-13.718237,17.043839,-29.936987,22.059845,-18.881796,12.421467,-25.739706,14.107279,-10.732774,16.140709,-17.767372,13.980428,-10.649223,13.373987,-18.826426,11.127301
1,Angry,Strong,3.2,0.04104553,0.046942532,258.7554453831901,43.5534321414056,-447.4702,123.14163,29.47237,60.919685,-13.449298,27.425158,5.1413507,29.330523,-13.776106,32.513134,-10.994064,18.133343,-15.459621,19.24524,-15.908656,14.33181,-20.392296,15.271748,-3.0310273,16.409746,-15.858826,13.859207,-0.95837784,10.956574,-10.06249,14.183727
1,Angry,Strong,2.112,0.058400303,0.051101815,252.98488076039945,53.12860419254943,-394.87192,113.476,44.97425,71.69352,-8.450724,35.174324,7.368722,24.39246,-16.374937,35.012196,-11.071578,23.669851,-9.054312,19.957844,-16.69507,17.766644,-20.356575,15.304341,-1.1487744,15.220888,-18.609907,12.723727,-0.009361591,11.587257,-17.04778,14.188782
1,Happy,Normal,1.568,0.008036407,0.0052091326,131.03914425928474,17.991307239403284,-601.4661,87.19201,123.35497,68.84844,11.0439625,33.69597,29.89537,27.971964,-0.14195533,32.22981,-4.94033,19.376343,-10.445342,20.12759,-23.116333,15.8871565,-15.983181,14.486023,6.9968596,16.414963,-15.528601,12.199307,7.4249525,14.859159,-13.357007,12.983945
1,Happy,Normal,1.792,0.0086889425,0.0075591016,134.66135629728288,37.29173812067651,-615.45013,131.5005,112.655205,52.992737,-2.3962314,32.93252,36.5669,30.162844,6.5845656,26.204453,-7.861153,21.701466,-7.795657,16.56525,-19.629826,18.218468,-8.993526,17.079287,4.937216,13.127009,-13.937234,15.792694,10.311951,15.847223,-14.188753,15.542804
1,Happy,Normal,1.6,0.008504411,0.0061498038,144.0091281228951,23.891696624647828,-596.7375,99.057045,120.29359,58.56514,-1.4934143,31.392332,34.794647,33.59238,-0.067090146,28.109875,-8.084807,17.597002,-10.131944,17.544258,-17.74831,17.319447,-11.216984,15.510096,0.7831348,16.224815,-16.222126,13.506209,6.3957753,14.523094,-15.329811,12.551857
1,Happy,Normal,1.792,0.0073575703,0.0043671955,127.23968625759171,15.323872730151384,-601.57715,94.768425,107.42686,76.001564,11.61668,31.969128,32.86466,30.688734,-0.76207614,29.415264,-0.75246173,20.85042,-7.736826,20.248407,-20.145063,17.646494,-13.122472,15.853585,3.8824978,17.749987,-10.612845,14.228753,7.2441363,13.258607,-13.096066,11.779491
1,Happy,Strong,2.016,0.018590935,0.012912156,177.63143415637222,19.421583959442707,-508.67993,101.18269,92.90791,65.01449,-4.84462,35.29432,17.171148,28.374586,-3.24123,33.709145,-10.22247,19.298832,-15.589092,20.477179,-21.987835,15.802401,-21.472729,16.535559,2.1372278,14.980793,-17.06136,15.142888,5.751115,12.672094,-13.963183,9.976467
1,Happy,Strong,1.696,0.012831593,0.009878482,212.6340387209442,32.367708384861174,-547.69336,84.115814,97.388626,52.209873,-6.6382008,33.210484,13.629318,31.42528,-3.1249096,34.835445,-13.384905,20.048964,-25.283373,17.606722,-13.454748,13.19811,-24.904928,16.832731,0.091900095,14.961699,-19.05424,12.667698,0.44777867,14.521255,-16.091768,10.843774
1,Happy,Strong,1.888,0.014508934,0.013897142,191.742084116113,49.497189592293225,-558.4466,116.64854,97.952736,48.65052,-11.844037,29.1735,20.296429,26.344017,2.1846986,30.507458,-11.730921,21.999104,-16.053429,16.304077,-17.778837,17.684776,-22.617409,23.71542,6.9670577,15.043953,-18.044361,16.213898,2.9738681,14.155032,-11.160017,12.865441
1,Happy,Strong,1.984,0.02017461,0.014096696,180.3946665696014,26.90364167172397,-494.5533,87.518105,87.54234,64.9509,-2.3641608,36.15729,19.386988,28.325119,-3.5658739,33.606754,-12.16624,19.262749,-14.5244255,17.12292,-23.720745,18.932718,-20.96632,15.203094,4.5509906,18.389538,-22.11934,14.356089,7.0492144,12.886855,-17.167276,12.361382
1,Sad,Normal,1.856,0.004058222,0.003492207,125.45173456844206,15.041204706034684,-662.93616,84.89838,117.97399,58.8785,2.6881137,33.3696,38.7511,24.598759,4.574541,26.677776,-0.122849986,17.558361,-8.927408,17.531876,-17.531357,16.300692,-8.7616,12.843431,-3.3260062,13.797211,-3.2046843,14.220736,0.66019744,13.694082,-12.880754,11.662766
1,Sad,Normal,1.536,0.0037733642,0.0025431458,111.89692844274488,9.745372662088162,-670.0529,102.01003,128.46022,68.74459,3.2942653,37.693794,43.63929,23.821327,4.2411466,26.184261,0.90483487,17.058815,-8.613999,17.93306,-19.722725,15.690511,-9.809095,14.728636,2.0698357,13.548057,-3.2875497,10.387207,1.8440692,12.272211,-7.8068104,9.498096
1,Sad,Normal,1.664,0.0039650695,0.0032161307,112.38805189277652,12.007718020429422,-659.41595,98.36065,120.952644,62.692043,-0.3606474,35.92981,42.016373,28.192913,2.124894,27.222132,1.7478703,16.73372,-7.274745,17.919436,-16.980333,14.348025,-11.599617,11.173107,0.8911676,14.19353,-3.4834278,12.418999,0.36375728,10.707182,-8.097247,10.419623
